Calls,Intern,Text,Data,Age
1.1,0.2,21.25,0.23,62
3.55,0.27,333.23,1.91,26
3.91,0.45,205.76,1.19,19
5.31,1.08,22.12,1.91,51
3.38,0.36,299.47,1.94,26
1,0.2,21.9,0.24,58
1.91,0.93,472.49,0.66,24
2.17,0.19,316.06,2.23,51
2.19,0.1,19.42,0.52,34
2.19,1.14,214.18,0.53,28
2.66,0.34,356.68,2.15,27
2.02,0.11,567.87,3.41,22
1.16,0.22,23.45,0.17,58
4.59,0.93,21.37,2.38,47
5.58,1.11,20.86,1.98,50
2.01,0.11,460.51,4.5,22
5.87,1.16,178.58,1.95,49
2.96,0.31,327.7,1.71,33
2.01,0.1,22.26,0.59,34
3.49,0.28,352.23,1.88,31
1.69,0.1,498.1,2.58,16
1.72,0.96,222.19,1.52,31
2.55,0.12,19.3,0.56,35
2.34,0.12,21.62,0.45,35
2.23,0.35,329.52,2.97,47
1.67,0.1,469.02,4.13,18
2.32,0.09,20.53,0.58,42
2.71,1.14,153.93,2.46,27
2.7,0.33,351.94,1.7,31
2.59,0.12,18.66,0.49,36
2.88,0.32,255.76,1.83,27
3.32,0.29,300.24,1.73,28
2.25,0.09,23.95,0.53,31
1.82,0.1,482.4,4.08,24
0.98,0.23,23.27,0.24,51
1.87,0.11,482.47,3.63,20
2.61,0.09,17.46,0.47,41
5.76,0.69,535.62,1.58,16
1.33,0.09,513.87,3.33,17
2.85,0.3,311.61,1.81,28
1.13,0.2,21.29,0.21,67
2.26,0.1,23.75,0.56,40
4.47,0.97,18.86,2.15,50
1.63,0.11,551.58,3.61,20
3.11,0.29,357.26,1.94,29
2.01,0.1,491.43,3.6,25
2.93,0.33,282.08,1.83,27
5.07,0.99,18.78,1.94,42
0.87,0.23,22.97,0.21,66
2.77,0.28,308.24,1.75,32
0.9,0.22,22.84,0.23,68
1.7,0.12,557.62,2.65,15
2.59,0.09,19.96,0.5,35
3.06,0.35,315.15,2.35,32
3.2,0.52,274.31,2.86,57
4.85,0.89,23.13,2.21,53
1.68,0.1,488.34,4.32,25
1.57,0.11,519.33,4.77,20
2.42,0.12,19.54,0.48,38
1.83,0.37,597.75,3.9,39
3.45,0.31,337.01,1.78,27
1.94,0.1,508.69,4.44,20
1.04,0.23,19.99,0.21,54
1.45,0.11,592.45,2.76,12
3.44,0.28,289.89,2.38,28
2.35,0.09,18.8,0.55,30
2.08,0.1,21.29,0.59,34
1.07,0.18,20.54,0.21,52
1.89,0.09,584.76,4.27,19
1.66,0.1,455.07,3.55,13
1.92,0.09,576.79,3.82,21
1.11,0.19,20.13,0.18,52
1.15,0.18,21.02,0.22,71
3.24,0.26,292.32,1.86,29
4.61,0.99,22.04,1.7,39
4.36,0.99,18.39,1.71,44
1.24,0.46,377.09,4.24,66
2.15,0.09,23.03,0.58,40
3.22,0.79,561.66,3.77,20
1.5,1.08,190.65,1.51,30
2.44,0.1,19.77,0.56,36
1.51,0.12,534.98,3.73,22
1.29,0.23,96.68,0.55,19
1.03,0.2,20.46,0.18,62
1.51,0.9,223.58,1.66,31
0.89,0.23,22.77,0.19,58
5.21,1.13,17.33,2.09,47
0.96,0.22,22.93,0.2,59
5.27,0.87,22.73,1.73,50
2.42,0.09,23.31,0.46,32
1.73,0.11,543.47,3.05,16
1.11,0.19,18.79,0.18,71
1.75,0.09,504.78,3.4,24
1.13,0.18,18.83,0.18,63
3.57,0.28,320.4,2.02,34
5.04,1.18,20.65,2.14,41
0.89,0.2,19.96,0.18,71
1.8,0.11,517.91,4.31,19
2.55,0.11,23.08,0.57,40
2.56,0.36,268.72,2.32,32
1.16,0.18,22.02,0.23,57
3.54,0.26,281.89,2.02,35
1.72,0.11,504.34,3.87,23
1.62,0.1,456.18,3.16,14
1.61,0.09,577.58,3.48,12
2.02,0.13,511.65,1.01,27
1.74,0.1,579.01,2.6,14
2.08,0.1,23.79,0.48,33
1.39,0.1,465.33,3.01,15
5.73,1,17.56,2.14,47
2.83,0.27,303.02,1.81,32
4.64,0.85,20.23,1.73,40
2.62,0.11,23.68,0.46,31
5.8,1.09,21.61,1.98,39
1.04,0.23,18.43,0.23,71
4.59,1.06,18.94,2.36,49
4.42,0.92,23.63,1.73,52
1.63,0.09,439.07,3.58,13
1,0.18,19.48,0.22,65
2.03,0.09,435.07,4.45,23
1.07,0.2,21.25,0.2,51
1.17,0.23,18.63,0.18,67
2.93,0.32,564.29,0.19,24
0.94,0.21,18.52,0.18,59
2.99,0.29,347.44,2.23,34
3.1,0.27,311.27,1.88,35
0.96,0.18,19.32,0.22,65
5.01,1.17,18.38,2.09,53
1.17,0.21,21.14,0.19,65
5.09,0.98,23.38,1.97,51
1.86,1.06,375.21,2.36,55
1.89,0.11,512.42,4.48,24
1.16,0.24,20.51,0.21,57
1.11,0.21,20.2,0.23,71
5.12,1.14,18.96,1.8,46
0.93,0.21,21.83,0.23,71
3.1,0.86,573.63,1.04,18
3.57,0.3,279.23,1.87,34
2.03,0.12,18.95,0.56,39
2.84,0.34,260.67,1.95,33
1.65,0.72,591.22,2.36,45
5.06,0.91,22.88,2.2,46
1.87,0.11,457.37,4.14,18
0.88,0.19,17.92,0.2,53
5.54,0.91,23.22,1.72,53
1.11,0.2,23.63,0.22,60
1.68,0.11,549.1,4.12,23
3.59,0.27,309.01,2.09,32
1.1,0.18,22.14,0.23,66
1.79,0.09,524.28,2.62,15
5.96,1.2,18.16,2.15,54
1.56,0.11,582.38,4.26,20
0.87,0.21,22.09,0.22,72
5.09,1.17,271.93,0.21,42
5.76,1.17,19.83,2.18,43
5.37,0.98,23.26,2.39,40
1.1,0.2,18.24,0.23,60
4.64,0.91,17.9,2.13,43
3.26,0.34,298.54,2.03,27
3.25,0.33,307.73,1.93,32
1.79,0.11,587.25,4.51,21
1.03,0.18,23.19,0.19,51
4.52,0.87,21.46,2.22,44
3.45,0.27,320.91,2.04,33
2.66,0.36,358.91,2.31,34
1,0.2,17.59,0.21,70
1.79,0.1,458.58,3.97,23
5.39,0.87,18.84,1.93,38
2.33,0.1,20.81,0.59,40
5.15,0.98,19.94,2.04,50
1.1,0.24,20.65,0.17,56
5.96,1.1,22.26,2.37,53
1.75,0.11,437.46,4.35,25
3.42,0.26,267.87,1.93,34
3.32,0.09,361.02,2.35,35
2.32,0.1,23.2,0.56,37
1.5,0.11,527.05,4.32,22
2.92,0.32,303.39,1.89,30
1.41,0.78,281.06,1.86,59
4.07,0.99,235.29,4,27
1.68,0.1,518.33,3.7,22
3.88,0.56,498.49,1.96,21
2.82,0.35,310.51,2.14,36
2.85,0.5,188.64,0.76,38
2.34,0.11,17.85,0.58,39
1.76,0.09,443,4.56,24
2.86,0.8,399.6,2.1,39
1.63,1.06,178.83,1.36,30
3.91,0.82,429.61,0.9,52
1.28,0.09,509.65,2.87,16
5.18,1.14,17.55,2.32,40
1.67,0.09,535.76,4.11,21
1.79,0.09,439.24,3.47,12
2.59,0.3,269.27,2.27,31
2.38,1.07,573.8,1.51,61
0.89,0.18,23.44,0.21,70
5.94,0.97,17.57,1.86,45
1.32,0.11,593.15,2.87,14
5.26,0.31,149.22,3.16,20
3.09,0.78,456.93,2.03,39
5.34,0.87,22.12,2.29,44
1.51,0.09,560.04,3.16,12
0.97,0.19,23.02,0.2,55
0.85,0.18,21.03,0.24,67
5.84,1.03,181.53,1,36
2.98,0.27,357.75,1.73,28
1.95,0.11,509.93,4,22
5.53,0.93,23.3,2.1,42
3.11,0.31,300.8,2.07,30
2.51,0.09,18.06,0.49,30
2.3,0.11,18.28,0.49,37
1.37,0.1,571.14,2.83,14
1.6,0.12,584.31,2.83,15
3.66,0.73,412.87,3.58,23
5.75,1.06,22.4,2.26,45
2,0.1,491.96,3.85,18
1.91,0.09,464.85,4.6,24
1.62,0.1,594.82,4.65,20
0.86,0.2,17.07,0.17,58
1.6,0.1,591.29,3.46,13
3.47,0.31,347.17,1.76,27
4.72,0.9,23.1,1.9,50
